dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,em_min,em_max,target_classification,obs_title,t_obs_release,instrument_name,proposal_pi,proposal_id,proposal_type,project,sequence_number,provenance_name,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,intentType,obsid,objID,objID1,distance
image,-1,JWST,jw01208004001_xx10O_00001_nircam,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,365.05,INFRARED,F115W;F444W;,1013000000000,1282000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRCAM,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.08333727261358 -24.128668904516704 64.01107089866916 -24.074716258281683 64.03649676348651 -24.04664480283617 64.10786857244587 -24.099892938330697 ,,,,,,SCIENCE,10000004169,10000004324,10000004324,0
image,-1,JWST,jw01208004001_xx10W_00001_nircam,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,365.05,INFRARED,F090W;F410M;,795000000000,1005000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRCAM,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.08333727261358 -24.128668904516704 64.01107089866916 -24.074716258281683 64.03649676348651 -24.04664480283617 64.10786857244587 -24.099892938330697 ,,,,,,SCIENCE,10000010565,10000004332,10000004332,0
spectrum,-1,JWST,jw01208016001_xx106_00006_nirspec,ID14B-MACSJ0416,64.0342,-24.0667138888889,,,2407.167,INFRARED,F170LP;G235H,1700000000000,5000000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRSPEC,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.03468151744522 -24.067167936768215 64.03471350721223 -24.06628155678453 64.03377164081627 -24.0662638061533 64.03373945708564 -24.0671503192483 ,,,,,,SCIENCE,10000004223,10000004434,10000004434,23.556667500416957
spectrum,-1,JWST,jw01208023001_xx10I_00007_niriss,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,1202.518,INFRARED,F200W;GR150R,1600000000000,2300000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRISS,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.04165764135338 -24.098719295156286 64.01005359886767 -24.075230411922405 64.03614311701453 -24.04627074133151 64.06771749389794 -24.06977479961398 ,,,,,,SCIENCE,10000010641,10000004471,10000004471,0
spectrum,-1,JWST,jw01208023001_xx10Y_00003_niriss,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,1202.518,INFRARED,F150W;GR150R,1300000000000,1700000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRISS,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.04169386910588 -24.098793490140565 64.01008980170377 -24.075304614342485 64.03617932676536 -24.04634493761398 64.06775372855293 -24.069848988459 ,,,,,,SCIENCE,10000010650,10000004487,10000004487,0
spectrum,-1,JWST,jw01208023001_xx111_00006_niriss,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,1202.518,INFRARED,F150W;GR150R,1300000000000,1700000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRISS,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.04180984248808 -24.098679041618595 64.01020578202282 -24.075190189633076 64.03629525764958 -24.046230493248117 64.06786965248277 -24.06973452028967 ,,,,,,SCIENCE,10000010653,10000004490,10000004490,0
spectrum,-1,JWST,jw01208023001_xx11D_00008_niriss,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,1202.518,INFRARED,F115W;GR150C,1000000000000,1300000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRISS,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.04159422290671 -24.098589519831478 64.00999022401193 -24.075100623580912 64.036079730076 -24.046140963734047 64.06765406338992 -24.069645035036103 ,,,,,,SCIENCE,10000010658,10000004502,10000004502,0
spectrum,-1,JWST,jw01208024001_xx101_00001_niriss,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,558.312,INFRARED,F115W;,1000000000000,1300000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRISS,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.04177997317171 -24.098597787662243 64.01017593819635 -24.075108929546502 64.03626540403874 -24.04614923822146 64.06783977339339 -24.069653271395453 ,,,,,,SCIENCE,10000010660,10000004504,10000004504,0
spectrum,-1,JWST,jw01208041001_xx107_00003_nirspec,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,875.333,INFRARED,CLEAR;PRISM,600000000000,5000000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRSPEC,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.05634789695928 -24.031959899837773 63.99669833128345 -24.058411537390896 64.02513775172031 -24.112886905236053 64.08521036136189 -24.087198734085405 ,,,,,,SCIENCE,10000010781,10000004716,10000004716,0
image,-1,JWST,jw01176211001_xx10B_00002_nircam,MACSJ0416.1-2403,64.03708333333333,-24.0746388888889,,,944.836,INFRARED,F200W;F277W;,1755000000000,2226000000000,,JWST Medium-Deep Fields -- Windhorst IDS GTO Program,,NIRCAM,"Windhorst, Rogier A.",1176,GTO,JWST,-999,APT,POLYGON ICRS 64.04859212249701 -24.098000953923417 63.96177113549627 -24.066701560736362 63.976628463081475 -24.032894118194633 64.0623522623949 -24.06377271534734 ,,,,,,SCIENCE,10000002616,10000000183,10000000183,0
